"","shotID","homeTeamCode","awayTeamCode","season","isPlayoffGame","game_id","homeTeamWon","id","time","timeUntilNextEvent","timeSinceLastEvent","period","team","location","event","goal","shotPlayContinuedOutsideZone","shotPlayContinuedInZone","shotGoalieFroze","shotPlayStopped","shotGeneratedRebound","homeTeamGoals","awayTeamGoals","xCord","yCord","xCordAdjusted","yCordAdjusted","shotAngle","shotAngleAdjusted","shotAnglePlusRebound","shotAngleReboundRoyalRoad","shotDistance","shotType","shotOnEmptyNet","shotRebound","shotAnglePlusReboundSpeed","shotRush","speedFromLastEvent","lastEventxCord","lastEventyCord","distanceFromLastEvent","lastEventShotAngle","lastEventShotDistance","lastEventCategory","lastEventTeam","homeEmptyNet","awayEmptyNet","homeSkatersOnIce","awaySkatersOnIce","awayPenalty1TimeLeft","awayPenalty1Length","homePenalty1TimeLeft","homePenalty1Length","playerPositionThatDidEvent","playerNumThatDidEvent","playerNumThatDidLastEvent","lastEventxCord_adjusted","lastEventyCord_adjusted","timeSinceFaceoff","goalieIdForShot","goalieNameForShot","shooterPlayerId","shooterName","shooterLeftRight","shooterTimeOnIce","shooterTimeOnIceSinceFaceoff","shootingTeamForwardsOnIce","shootingTeamDefencemenOnIce","shootingTeamAverageTimeOnIce","shootingTeamAverageTimeOnIceOfForwards","shootingTeamAverageTimeOnIceOfDefencemen","shootingTeamMaxTimeOnIce","shootingTeamMaxTimeOnIceOfForwards","shootingTeamMaxTimeOnIceOfDefencemen","shootingTeamMinTimeOnIce","shootingTeamMinTimeOnIceOfForwards","shootingTeamMinTimeOnIceOfDefencemen","shootingTeamAverageTimeOnIceSinceFaceoff","shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff","shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMaxTimeOnIceSinceFaceoff","shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff","shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMinTimeOnIceSinceFaceoff","shootingTeamMinTimeOnIceOfForwardsSinceFaceoff","shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff","defendingTeamForwardsOnIce","defendingTeamDefencemenOnIce","defendingTeamAverageTimeOnIce","defendingTeamAverageTimeOnIceOfForwards","defendingTeamAverageTimeOnIceOfDefencemen","defendingTeamMaxTimeOnIce","defendingTeamMaxTimeOnIceOfForwards","defendingTeamMaxTimeOnIceOfDefencemen","defendingTeamMinTimeOnIce","defendingTeamMinTimeOnIceOfForwards","defendingTeamMinTimeOnIceOfDefencemen","defendingTeamAverageTimeOnIceSinceFaceoff","defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff","defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMaxTimeOnIceSinceFaceoff","defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff","defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMinTimeOnIceSinceFaceoff","defendingTeamMinTimeOnIceOfForwardsSinceFaceoff","defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff","offWing","arenaAdjustedShotDistance","arenaAdjustedXCord","arenaAdjustedYCord","arenaAdjustedYCordAbs","timeDifferenceSinceChange","averageRestDifference","xGoal","xFroze","xRebound","xPlayContinuedInZone","xPlayContinuedOutsideZone","xPlayStopped","xShotWasOnGoal","isHomeTeam","shotWasOnGoal","teamCode","arenaAdjustedXCordABS"
"1",438716,"VAN","PIT",2011,0,20003,0,4,28,4,9,1,"AWAY","HOMEZONE","SHOT",0,0,1,0,0,0,0,0,-51,29,51,-29,-37.3493490446,37.3493490446,0,0,47.8016736109,"SLAP",0,0,0,0,12.5953156097,62,38,113.357840488,0,0,"HIT","HOME",0,0,5,5,0,0,0,0,"D",4,0,-62,-38,28,8466141,"Roberto Luongo",8469760,"Zbynek Michalek","R",28,28,3,2,22.8,28,15,28,28,28,2,28,2,22.8,28,15,28,28,28,2,28,2,3,2,18.4,12,28,28,28,28,4,4,28,18.4,12,28,28,28,28,4,4,28,0,48,-51,29,29,-2,4.4,0.0155913,0.195744,0.0289674,0.392029,0.341417,0.0262512,0.730364,0,1,"PIT",51
"2",438717,"VAN","PIT",2011,0,20003,0,5,32,28,4,1,"AWAY","HOMEZONE","SHOT",0,1,0,0,0,0,0,0,-61,-10,61,10,19.6538240581,19.6538240581,57.0031731027,1,29.7321374946,"WRIST",0,0,14.2507932757,0,10.0654110696,-51,29,40.2616442784,-37.3493490446,47.8016736109,"SHOT","AWAY",0,0,5,5,0,0,0,0,"C",11,4,51,-29,32,8466141,"Roberto Luongo",8473533,"Jordan Staal","L",32,32,3,2,20.6,32,3.5,32,32,6,1,32,1,20.6,32,3.5,32,32,6,1,32,1,3,2,22.4,16,32,32,32,32,8,8,32,22.4,16,32,32,32,32,8,8,32,0,33,-58,-11,11,-7,-1.8,0.0610348,0.152499,0.0403299,0.397497,0.323872,0.0247666,0.666815,0,1,"PIT",58
"3",438718,"VAN","PIT",2011,0,20003,0,6,60,2,28,1,"HOME","HOMEZONE","SHOT",0,0,1,0,0,0,0,0,-79,-2,79,2,11.309932474,11.309932474,0,0,10.1980390272,"DEFL",0,0,0,0,0.703489842985,-61,-10,19.6977156036,0,0,"SHOT","AWAY",0,0,5,5,0,0,0,0,"R",26,11,61,10,60,8470594,"Marc-Andre Fleury",8467463,"Mikael Samuelsson","R",2,2,3,2,19.6,15.6666666667,25.5,36,36,27,2,2,24,19.6,15.6666666667,25.5,36,36,27,2,2,24,3,2,25.6,21.6666666667,31.5,34,26,34,13,13,29,25.6,21.6666666667,31.5,34,26,34,13,13,29,1,12,-77,-2,2,-11,-6,0.001,0.01,0.01,0.01,0.959,0.01,0.3,1,1,"VAN",77
"4",438719,"VAN","PIT",2011,0,20003,0,12,115,14,16,1,"AWAY","HOMEZONE","MISS",0,1,0,0,0,0,0,0,-52,29,52,-29,-38.088772881,38.088772881,0,0,47.0106370942,"SLAP",0,0,0,0,7.26722092687,64,37,116.27553483,0,0,"HIT","HOME",0,0,5,5,0,0,0,0,"D",5,0,-64,-37,42,8466141,"Roberto Luongo",8468674,"Deryk Engelland","R",14,14,3,2,27.8,37,14,53,53,14,5,5,14,23.4,29.6666666667,14,42,42,14,5,5,14,3,2,19,11.6666666667,30,53,17,53,7,7,7,16.8,11.6666666667,24.5,42,17,42,7,7,7,0,47,-52,29,29,-2,6.6,0.0176753,0.207705,0.0263488,0.3672,0.353499,0.0275712,0.738272,0,0,"PIT",52
"5",438720,"VAN","PIT",2011,0,20003,0,19,221,4,15,1,"AWAY","HOMEZONE","MISS",0,0,1,0,0,0,0,0,-62,2,62,-2,-4.23639479906,4.23639479906,0,0,27.0739727414,"WRIST",0,0,0,0,2.10818510678,-92,12,31.6227766017,0,0,"TAKE","HOME",0,0,5,5,0,0,0,0,"L",14,0,92,-12,148,8466141,"Roberto Luongo",8470543,"Chris Kunitz","L",6,6,3,2,19.6,28.6666666667,6,43,43,6,6,6,6,19.6,28.6666666667,6,43,43,6,6,6,6,3,2,32.8,36,28,40,40,28,28,28,28,32.8,36,28,40,40,28,28,28,28,1,31,-58,2,2,-22,-13.2,0.0802796,0.151414,0.0493181,0.436018,0.26573,0.0172413,0.695728,0,0,"PIT",58
"6",438721,"VAN","PIT",2011,0,20003,0,21,225,0,4,1,"AWAY","HOMEZONE","SHOT",0,0,0,1,0,0,0,0,-60,-3,60,3,5.90614111377,5.90614111377,10.1425359128,1,29.1547594742,"SNAP",0,0,2.53563397821,0,1.34629120178,-62,2,5.38516480713,-4.23639479906,27.0739727414,"MISS","AWAY",0,0,5,5,0,0,0,0,"D",6,14,62,-2,152,8466141,"Roberto Luongo",8473933,"Ben Lovejoy","R",10,10,3,2,6,3.33333333333,10,10,10,10,0,0,10,6,3.33333333333,10,10,10,10,0,0,10,3,2,36.8,40,32,44,44,32,32,32,32,36.8,40,32,44,44,32,32,32,32,1,32,-57,-3,3,-32,-30.8,0.0848513,0.15846,0.0509126,0.400678,0.276285,0.0288121,0.700545,0,1,"PIT",57
"7",438722,"VAN","PIT",2011,0,20003,0,30,304,0,9,1,"AWAY","HOMEZONE","GOAL",1,0,0,0,0,0,0,0,-79,4,79,-4,-21.8014094864,21.8014094864,0,0,10.7703296143,"WRIST",0,0,0,0,3.95655418106,-57,32,35.6089876295,0,0,"GIVE","HOME",0,0,4,5,0,0,0,0,"L",18,0,57,-32,16,8466141,"Roberto Luongo",8471707,"James Neal","L",16,16,4,1,20.8,16,40,40,16,40,16,16,40,16,16,16,16,16,16,16,16,16,2,2,19.25,16,22.5,29,16,29,16,16,16,16,16,16,16,16,16,16,16,16,1,13,-77,5,5,0,0,0.684585,0.0391151,0.0435861,0.157218,0.0645357,0.0109603,0.931851,0,1,"PIT",77
"8",438723,"VAN","PIT",2011,0,20003,0,43,445,10,6,1,"HOME","AWAYZONE","SHOT",0,1,0,0,0,0,0,1,42,17,42,17,19.8851651139,19.8851651139,0,0,49.9799959984,"SLAP",0,0,0,0,4.57651007258,69,22,27.4590604355,0,0,"FAC","HOME",0,0,5,5,0,0,0,0,"D",23,0,69,22,6,8470594,"Marc-Andre Fleury",8471303,"Alexander Edler","L",13,6,3,2,8.8,6,13,13,6,13,6,6,13,6,6,6,6,6,6,6,6,6,3,2,35.4,25,51,51,51,51,9,9,51,6,6,6,6,6,6,6,6,6,0,49,43,17,17,0,0,0.0189098,0.105722,0.0377697,0.500704,0.315506,0.0213885,0.584515,1,1,"VAN",43
"9",438724,"VAN","PIT",2011,0,20003,0,45,484,4,29,1,"HOME","AWAYZONE","SHOT",0,0,1,0,0,0,0,1,60,21,60,21,35.9097230792,35.9097230792,0,0,35.8050275799,"WRIST",0,0,0,0,2.73089515493,4,-35,79.1959594929,0,0,"HIT","AWAY",0,0,5,5,0,0,0,0,"L",20,0,4,-35,45,8470594,"Marc-Andre Fleury",8470274,"Chris Higgins","L",12,12,3,2,13.6,19.3333333333,5,45,45,9,1,1,1,13.6,19.3333333333,5,45,45,9,1,1,1,3,2,34,43.3333333333,20,54,54,20,20,28,20,31.6,39.3333333333,20,45,45,20,20,28,20,0,38,58,22,22,-19,-18,0.0249637,0.208001,0.0348694,0.42974,0.280509,0.0219171,0.729688,1,1,"VAN",58
"10",438725,"VAN","PIT",2011,0,20003,0,51,524,0,8,1,"AWAY","HOMEZONE","SHOT",0,0,0,1,0,0,0,1,-55,-18,55,18,27.8972710309,27.8972710309,0,0,38.4707681233,"WRIST",0,0,0,0,10.625,20,22,85,0,0,"FAC","HOME",0,0,5,5,0,0,0,0,"L",14,0,-20,-22,8,8466141,"Roberto Luongo",8470543,"Chris Kunitz","L",17,8,3,2,36.2,20.3333333333,60,60,22,60,17,17,60,8,8,8,8,8,8,8,8,8,3,2,10.8,12.6666666667,8,20,20,8,8,8,8,8,8,8,8,8,8,8,8,8,0,40,-54,-19,19,0,0,0.0264379,0.228284,0.0323536,0.396076,0.294378,0.0224704,0.761012,0,1,"PIT",54
