"","shotID","arenaAdjustedShotDistance","arenaAdjustedXCord","arenaAdjustedXCordABS","arenaAdjustedYCord","arenaAdjustedYCordAbs","averageRestDifference","awayEmptyNet","awayPenalty1Length","awayPenalty1TimeLeft","awaySkatersOnIce","awayTeamCode","awayTeamGoals","defendingTeamAverageTimeOnIce","defendingTeamAverageTimeOnIceOfDefencemen","defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","defendingTeamAverageTimeOnIceOfForwards","defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff","defendingTeamAverageTimeOnIceSinceFaceoff","defendingTeamDefencemenOnIce","defendingTeamForwardsOnIce","defendingTeamMaxTimeOnIce","defendingTeamMaxTimeOnIceOfDefencemen","defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMaxTimeOnIceOfForwards","defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff","defendingTeamMaxTimeOnIceSinceFaceoff","defendingTeamMinTimeOnIce","defendingTeamMinTimeOnIceOfDefencemen","defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMinTimeOnIceOfForwards","defendingTeamMinTimeOnIceOfForwardsSinceFaceoff","defendingTeamMinTimeOnIceSinceFaceoff","distanceFromLastEvent","event","game_id","goal","goalieIdForShot","goalieNameForShot","homeEmptyNet","homePenalty1Length","homePenalty1TimeLeft","homeSkatersOnIce","homeTeamCode","homeTeamGoals","homeTeamWon","id","isHomeTeam","isPlayoffGame","lastEventCategory","lastEventShotAngle","lastEventShotDistance","lastEventTeam","lastEventxCord","lastEventxCord_adjusted","lastEventyCord","lastEventyCord_adjusted","location","offWing","period","playerNumThatDidEvent","playerNumThatDidLastEvent","playerPositionThatDidEvent","season","shooterLeftRight","shooterName","shooterPlayerId","shooterTimeOnIce","shooterTimeOnIceSinceFaceoff","shootingTeamAverageTimeOnIce","shootingTeamAverageTimeOnIceOfDefencemen","shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","shootingTeamAverageTimeOnIceOfForwards","shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff","shootingTeamAverageTimeOnIceSinceFaceoff","shootingTeamDefencemenOnIce","shootingTeamForwardsOnIce","shootingTeamMaxTimeOnIce","shootingTeamMaxTimeOnIceOfDefencemen","shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMaxTimeOnIceOfForwards","shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff","shootingTeamMaxTimeOnIceSinceFaceoff","shootingTeamMinTimeOnIce","shootingTeamMinTimeOnIceOfDefencemen","shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMinTimeOnIceOfForwards","shootingTeamMinTimeOnIceOfForwardsSinceFaceoff","shootingTeamMinTimeOnIceSinceFaceoff","shotAngle","shotAngleAdjusted","shotAnglePlusRebound","shotAnglePlusReboundSpeed","shotAngleReboundRoyalRoad","shotDistance","shotGeneratedRebound","shotGoalieFroze","shotOnEmptyNet","shotPlayContinuedInZone","shotPlayContinuedOutsideZone","shotPlayStopped","shotRebound","shotRush","shotType","shotWasOnGoal","speedFromLastEvent","team","teamCode","time","timeDifferenceSinceChange","timeSinceFaceoff","timeSinceLastEvent","timeUntilNextEvent","xCord","xCordAdjusted","xFroze","xGoal","xPlayContinuedInZone","xPlayContinuedOutsideZone","xPlayStopped","xRebound","xShotWasOnGoal","yCord","yCordAdjusted"
"1",186,72,25,25,-33,33,0,0,0,0,5,"CGY",0,33,33,33,33,33,33,2,3,33,33,33,33,33,33,33,33,33,33,33,33,53.0094331228,"MISS",20003,0,8474593,"Jacob Markstrom",0,0,0,5,"VAN",0,1,7,0,0,"HIT",0,0,"HOME",-20,-20,-30,-30,"HOMEZONE",0,1,24,0,"D",2018,"R","Travis Hamonic",8474612,33,33,33,33,33,33,33,33,2,3,33,33,33,33,33,33,33,33,33,33,33,33,-27.3777027713,27.3777027713,0,0,0,63.0634601017,0,0,0,0,1,0,0,0,"SLAP",0,2.94496850682,"AWAY","CGY",33,0,33,18,12,33,33,0.142465,0.00893654,0.377979,0.431058,0.0226891,0.0168718,0.672576,-29,-29
"2",187,56,37,37,21,21,-6.8,0,0,0,5,"CGY",0,28.4,15,15,37.3333333333,37.3333333333,28.4,2,3,51,15,15,51,51,51,10,15,15,10,10,10,126.435754437,"SHOT",20003,0,8474593,"Jacob Markstrom",0,0,0,5,"VAN",0,1,9,0,0,"HIT",0,0,"AWAY",-86,-86,39,39,"HOMEZONE",0,1,11,0,"C",2018,"L","Mikael Backlund",8474150,51,51,21.6,1,1,35.3333333333,35.3333333333,21.6,2,3,51,1,1,51,51,51,1,1,1,4,4,1,21.8014094864,21.8014094864,0,0,0,53.8516480713,0,0,0,0,1,0,0,0,"WRIST",1,21.0726257395,"AWAY","CGY",51,-9,51,6,10,39,39,0.228504,0.010255,0.358133,0.349564,0.023662,0.0298822,0.720146,20,20
"3",188,31,86,86,-31,31,-4.6,0,0,0,5,"CGY",0,36.4,29.5,29.5,41,41,36.4,2,3,54,54,54,49,49,54,5,5,5,37,37,5,189.256439785,"SHOT",20003,0,8474593,"Jacob Markstrom",0,0,0,5,"VAN",0,1,11,0,0,"HIT",0,0,"HOME",-91,-91,40,40,"HOMEZONE",1,1,13,0,"L",2018,"L","Johnny Gaudreau",8476346,43,43,31.8,21.5,21.5,38.6666666667,38.6666666667,31.8,2,3,43,40,40,43,43,43,3,3,3,34,34,3,-83.6598082541,83.6598082541,0,0,0,27.1661554144,0,0,0,0,1,0,0,0,"BACK",1,6.52608413051,"AWAY","CGY",90,-2,90,29,6,86,86,0.135087,0.00720682,0.408829,0.376154,0.0239349,0.048788,0.687798,-27,-27
"4",189,41,74,74,38,38,5.2,0,0,0,5,"CGY",0,32.6,35.5,35.5,30.6666666667,30.6666666667,32.6,2,3,60,60,60,43,43,60,6,11,11,6,6,6,62.9682459657,"SHOT",20003,0,8474593,"Jacob Markstrom",0,0,0,5,"VAN",0,1,12,0,0,"SHOT",-83.6598082541,27.1661554144,"AWAY",86,86,-27,-27,"HOMEZONE",0,1,55,13,"D",2018,"L","Noah Hanifin",8478396,9,9,37.8,27.5,27.5,44.6666666667,44.6666666667,37.8,2,3,49,46,46,49,49,49,9,9,9,40,40,9,68.1985905136,68.1985905136,151.858398768,25.309733128,1,37.6961536499,0,0,0,0,1,0,0,0,"WRIST",1,10.494707661,"AWAY","CGY",96,3,96,6,6,75,75,0.145827,0.0108007,0.430618,0.355938,0.0199958,0.0368202,0.646692,35,35
"5",190,26,-71,71,-19,19,-42,0,0,0,5,"CGY",0,60,60,60,60,60,60,1,4,60,60,60,60,60,60,60,60,60,60,60,60,97.1853898485,"SHOT",20003,0,8469608,"Mike Smith",0,120,60,4,"VAN",0,1,18,1,0,"TAKE",0,0,"HOME",24,-24,-11,11,"AWAYZONE",0,1,60,0,"C",2018,"L","Markus Granlund",8476440,18,18,18,18,18,18,18,18,2,2,18,18,18,18,18,18,18,18,18,18,18,18,46.7357045889,46.7357045889,0,0,0,23.3452350599,0,1,0,0,0,0,0,0,"WRIST",1,19.4370779697,"HOME","VAN",170,-42,60,5,0,-73,73,0.080623,0.0548266,0.234804,0.583871,0.0207208,0.0251544,0.770274,-17,17
"6",191,6.7082039325,-83,83,-3,3,0,0,0,0,5,"CGY",0,34.8,41.5,13,30.3333333333,13,13,2,3,43,43,13,32,13,13,27,40,13,27,13,13,105.990565618,"SHOT",20003,0,8469608,"Mike Smith",0,0,0,5,"VAN",0,1,41,1,0,"FAC",0,0,"HOME",20,-20,22,-22,"AWAYZONE",0,1,60,0,"C",2018,"L","Markus Granlund",8476440,30,13,28.8,27,13,30,13,13,2,3,30,27,13,30,13,13,27,27,13,30,13,13,26.5650511771,26.5650511771,0,0,0,6.7082039325,0,0,0,0,1,0,0,0,"SNAP",1,8.15312043215,"HOME","VAN",405,0,13,13,6,-83,83,0.158746,0.23041,0.308688,0.196782,0.0205919,0.0847823,0.927867,-3,3
"7",192,14,78,78,9,9,0,0,0,0,5,"CGY",0,15.4,26.5,8,8,8,8,2,3,45,45,8,8,8,8,8,8,8,8,8,8,27.4590604355,"MISS",20003,0,8474593,"Jacob Markstrom",0,0,0,5,"VAN",0,1,46,0,0,"GIVE",0,0,"HOME",74,74,35,35,"HOMEZONE",0,1,23,0,"C",2018,"L","Sean Monahan",8477497,8,8,8,8,8,8,8,8,2,3,8,8,8,8,8,8,8,8,8,8,8,8,38.6598082541,38.6598082541,0,0,0,12.8062484749,0,0,0,0,1,0,0,0,"WRIST",0,27.4590604355,"AWAY","CGY",423,0,8,0,10,79,79,0.209751,0.137033,0.331828,0.190865,0.0558326,0.0746899,0.842702,8,8
"8",193,49,46,46,24,24,0,0,0,0,5,"CGY",0,62,78.5,51,51,51,51,2,3,79,79,51,51,51,51,51,78,51,51,51,51,52.7730992078,"MISS",20003,0,8474593,"Jacob Markstrom",0,0,0,5,"VAN",0,1,56,0,0,"HIT",0,0,"HOME",97,97,-2,-2,"HOMEZONE",0,1,5,0,"D",2018,"L","Mark Giordano",8470966,51,51,51,51,51,51,51,51,2,3,51,51,51,51,51,51,51,51,51,51,51,51,29.4274564032,29.4274564032,0,0,0,44.7772263545,0,0,0,0,1,0,0,0,"WRIST",0,8.79551653464,"AWAY","CGY",541,0,51,6,10,50,50,0.162808,0.0125774,0.451139,0.316002,0.0194425,0.038032,0.637103,22,22
"9",194,15,77,77,-8,8,-5,0,0,0,5,"CGY",0,15.8,17,17,15,15,15.8,2,3,17,17,17,15,15,17,15,17,17,15,15,15,101.965680501,"SHOT",20003,0,8474593,"Jacob Markstrom",0,0,0,5,"VAN",0,1,59,0,0,"HIT",0,0,"AWAY",-14,-14,38,38,"HOMEZONE",0,1,28,0,"C",2018,"R","Elias Lindholm",8477496,14,14,10.8,3,3,16,16,10.8,2,3,17,5,5,17,17,17,1,1,1,14,14,1,-33.690067526,33.690067526,0,0,0,14.4222051019,0,1,0,0,0,0,0,0,"WRIST",1,3.28921550003,"AWAY","CGY",614,-14,124,31,0,77,77,0.120648,0.081427,0.417287,0.286474,0.0236155,0.0705481,0.8003,-8,-8
"10",195,54,-41,41,-25,25,22.4,0,0,0,5,"CGY",0,12.6,15,15,11,11,12.6,2,3,15,15,15,11,11,15,11,15,15,11,11,11,58.1807528312,"SHOT",20003,0,8469608,"Mike Smith",0,0,0,5,"VAN",0,1,66,1,0,"HIT",0,0,"HOME",-97,97,1,-1,"AWAYZONE",1,1,20,0,"C",2018,"R","Brandon Sutter",8474091,35,35,35,35,35,35,35,35,2,3,35,35,35,35,35,35,35,35,35,35,35,35,27.072080238,27.072080238,0,0,0,50.537115074,0,0,0,0,1,0,0,0,"WRIST",1,14.5451882078,"HOME","VAN",673,24,35,4,10,-44,44,0.213497,0.0181138,0.395369,0.314843,0.0197827,0.038394,0.66779,-23,23
"11",196,14,75,75,2,2,-14.6,0,0,0,5,"CGY",0,37.2,45,45,32,32,37.2,2,3,45,45,45,45,45,45,6,45,45,6,6,6,122.576506721,"SHOT",20003,0,8474593,"Jacob Markstrom",0,0,0,5,"VAN",0,1,67,0,0,"SHOT",0,0,"HOME",-44,-44,-23,-23,"HOMEZONE",1,1,10,20,"C",2018,"R","Derek Ryan",8478585,21,21,22.6,25,25,21,21,22.6,2,3,25,25,25,21,21,25,21,25,25,21,21,21,8.74616226256,8.74616226256,0,0,0,13.152946438,0,0,0,1,0,0,0,0,"BACK",1,12.2576506721,"AWAY","CGY",683,15,45,10,0,76,76,0.112297,0.113525,0.402648,0.292361,0.0176577,0.0615126,0.830444,2,2
"12",197,15,74,74,3,3,-5.25,0,0,0,5,"CGY",0,50.25,47,47,53.5,53.5,50.25,2,2,57,47,47,57,57,57,47,47,47,50,50,47,25.7099202644,"MISS",20003,0,8474593,"Jacob Markstrom",0,120,31,4,"VAN",0,1,72,0,0,"FAC",0,0,"AWAY",69,69,-22,-22,"HOMEZONE",0,1,19,0,"L",2018,"L","Matthew Tkachuk",8479314,47,47,45,37,37,47,47,45,1,4,47,37,37,47,47,47,37,37,37,47,47,37,12.094757077,12.094757077,0,0,0,14.3178210633,0,0,0,1,0,0,0,0,"DEFL",0,0.302469650169,"AWAY","CGY",772,-10,85,85,7,75,75,0.0880452,0.0103593,0.587541,0.227285,0.0305252,0.0562444,0.37132,3,3
"13",198,27,66,66,13,13,-5.25,0,0,0,5,"CGY",0,57.25,54,54,60.5,60.5,57.25,2,2,64,54,54,64,64,64,54,54,54,57,57,54,11.401754251,"SHOT",20003,0,8474593,"Jacob Markstrom",0,120,24,4,"VAN",0,1,73,0,0,"MISS",12.094757077,14.3178210633,"AWAY",75,75,3,3,"HOMEZONE",0,1,23,19,"C",2018,"L","Sean Monahan",8477497,54,54,52,44,44,54,54,52,1,4,54,44,44,54,54,54,44,44,44,54,54,44,29.7448812969,29.7448812969,17.6501242199,2.52144631713,0,24.1867732449,0,0,0,1,0,0,0,0,"WRIST",1,1.62882203586,"AWAY","CGY",779,-10,92,7,9,68,68,0.110263,0.00977647,0.580895,0.215805,0.0208666,0.062394,0.670576,12,12
"14",199,61,28,28,-3,3,-5.25,0,0,0,5,"CGY",0,66.25,63,63,69.5,69.5,66.25,2,2,73,63,63,73,73,73,63,63,63,66,66,63,39,"SHOT",20003,0,8474593,"Jacob Markstrom",0,120,15,4,"VAN",0,1,74,0,0,"SHOT",29.7448812969,24.1867732449,"AWAY",68,68,12,12,"HOMEZONE",1,1,5,23,"D",2018,"L","Mark Giordano",8470966,53,53,61,53,53,63,63,61,1,4,63,53,53,63,63,63,53,53,53,63,63,53,-3.01278750418,3.01278750418,32.7576688011,3.6397409779,1,57.0788927713,0,0,0,1,0,0,0,0,"WRIST",1,4.33333333333,"AWAY","CGY",788,-10,101,9,13,32,32,0.175332,0.00473262,0.500948,0.226279,0.0151706,0.0775379,0.702602,-3,-3
"15",200,52,42,42,23,23,-5.25,0,0,0,5,"CGY",0,79.25,76,76,82.5,82.5,79.25,2,2,86,76,76,86,86,86,76,76,76,79,79,76,27.7308492477,"MISS",20003,0,8474593,"Jacob Markstrom",0,120,2,4,"VAN",0,1,75,0,0,"SHOT",-3.01278750418,57.0788927713,"AWAY",32,32,-3,-3,"HOMEZONE",0,1,13,5,"L",2018,"L","Johnny Gaudreau",8476346,76,76,74,66,66,76,76,74,1,4,76,66,66,76,76,76,66,66,66,76,76,66,26.0534953105,26.0534953105,29.0662828147,2.23586790882,1,50.0899191455,0,0,0,0,1,0,0,0,"SLAP",0,2.13314224982,"AWAY","CGY",801,-10,114,13,20,44,44,0.117868,0.00661004,0.33356,0.45405,0.0210042,0.0669083,0.641277,22,22
"16",201,24,-71,71,16,16,3.4,0,0,0,5,"CGY",0,19.6,20.5,20.5,19,19,19.6,2,3,22,22,22,19,19,22,19,19,19,19,19,19,169.070991007,"GOAL",20003,1,8469608,"Mike Smith",0,0,0,5,"VAN",0,1,78,1,0,"HIT",0,0,"AWAY",94,-94,33,-33,"AWAYZONE",1,1,40,0,"C",2018,"L","Elias Pettersson",8480012,23,23,23,23,23,23,23,23,2,3,23,23,23,23,23,23,23,23,23,23,23,23,-43.0250659891,43.0250659891,0,0,0,20.5182845287,0,0,0,0,0,0,0,0,"WRIST",1,169.070991007,"HOME","VAN",828,4,141,1,0,-74,74,0.177982,0.054243,0.374587,0.318041,0.0203068,0.05484,0.81623,14,-14
"17",202,55,41,41,-26,26,0,0,0,0,5,"CGY",0,31.6,38.5,27,27,27,27,2,3,50,50,27,27,27,27,27,27,27,27,27,27,49.7393204618,"MISS",20003,0,8474593,"Jacob Markstrom",0,0,0,5,"VAN",1,1,80,0,0,"FAC",0,0,"HOME",0,0,0,0,"HOMEZONE",1,1,18,0,"L",2018,"L","James Neal",8471707,27,27,31.4,38,27,27,27,27,2,3,49,49,27,27,27,27,27,27,27,27,27,27,-28.5231186063,28.5231186063,0,0,0,52.3545604508,0,0,0,0,0,1,0,0,"WRIST",0,1.84219705414,"AWAY","CGY",855,0,27,27,0,43,43,0.19631,0.0105921,0.41871,0.31514,0.0200923,0.0391565,0.679398,-25,-25
