playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8470877,2008,David Jones,COL,R,other,40,1481,37,10.59,0.3,0.45,0.36,0.42,0.35,0.44,106,1.58,0.11,0.08,0.37,0.04,0.64,0.76,0.11,0.11,0.11,0,0,2,0,0,2,0,0,0,0,1,0,0,1,2,2,0,0,2,1,1,0,2,0,0,0.11,0,0,0,0,0,2,2,2,0,0.02,0,0,0.13,0.13,0.13,37,5,5,6,21,6,2,8,21,2,1,4254,0,0,0,2,6.4,0.53,0.52,0.53,0.52,8,1,3,12,0,0,0,7,2,0,0.25,0.28,0,0,0,0,12,9,9,0.12,0,0,0.65,0.65,0.64,11.52,1.22,1.18,1.22,1.18,10,7,4,21,0,0,0,12,4,1,0.38,0.43,0.42,0,0,0,21,17,17,0.22,0,0,1.44,1.44,1.4,3.4,4.09,51,71,0.11,0,2,0,1,0
8470877,2008,David Jones,COL,R,all,40,30489,736,11.13,0.46,0.51,0.46,0.47,0.46,0.49,306,41.54,3.97,2.66,9.36,1.41,22.75,17.86,3.5,3.98,3.51,4,1,47,11,13,71,13,8,1,2,14,0,16,19,39,50,4,8,4,54,21,11,44,10,4,1.5,1.04,1.42,5,1,2,71.44,58,58.11,0,0.59,0.07,1.19,3.36,3.37,3.34,736,93,57,119,467,117,97,119,403,4,4,115719,8,28,14,13,217.53,18.71,17.84,18.69,17.82,228,78,97,403,15,15,4,244,45,17,7.44,5.59,5.67,7,4,4,402.3,306,305.84,3,3.91,3.91,17.73,17.72,17.55,261.33,21.69,21.15,21.8,21.26,252,113,116,481,28,19,3,282,68,15,7.27,8.65,5.77,11,9,8,482.79,365,367.43,3.79,3.66,4.08,21.4,21.5,21.17,82.41,79.87,1577,1777,0,0,0,0,0,0
8470877,2008,David Jones,COL,R,5on5,40,25900,609,11.13,0.48,0.51,0.46,0.47,0.47,0.49,298,33.54,2.92,2.04,7.85,1.08,18.21,13.9,2.74,2.93,2.75,3,1,38,8,13,59,11,7,1,1,11,0,13,14,31,39,4,8,0,52,18,10,36,7,3,1.2,0.76,0.96,5,1,1,59.44,46,46.11,0,0.43,0.07,0.73,2.62,2.62,2.61,609,78,43,105,383,98,87,98,326,0,1,85332,8,28,14,8,188.51,14.3,13.8,14.28,13.78,198,65,84,347,13,13,3,215,37,11,6.44,4.68,3.18,6,4,3,346.3,263,262.85,2.42,2.86,2.86,13.86,13.85,13.72,216.75,15.79,15.38,15.9,15.48,203,99,99,401,21,15,2,241,51,10,6.3,6.57,2.92,10,6,5,402.79,302,304.43,2.8,2.3,2.72,15.87,15.97,15.74,52.85,50.22,1147,1309,0.48,0.29,17,11,11,11
8470877,2008,David Jones,COL,R,4on5,40,1738,51,5.33,0.02,0.1,0.07,0.09,0.07,0.11,143,1.35,0.08,0.05,0.21,0.04,0.48,1.15,0.08,0.08,0.08,0,0,1,1,0,2,0,0,0,0,0,0,1,1,1,2,0,0,2,0,1,1,2,0,0,0.08,0,0,0,0,0,2,2,2,0,0.01,0,0,0.09,0.09,0.09,51,0,8,4,39,3,6,6,36,2,1,8851,0,0,0,0,1.66,0.08,0.08,0.08,0.08,2,1,1,4,0,0,0,3,0,0,0.08,0,0,0,0,0,4,3,3,0.01,0,0,0.09,0.09,0.09,27.42,3.71,3.62,3.71,3.62,32,6,12,50,6,3,0,22,13,3,0.47,1.66,1.59,1,3,2,50,38,38,0.7,0.51,0.51,3.9,3.9,3.83,1.41,12.66,23,242,0,0.09,0,5,0,5
8470877,2008,David Jones,COL,R,5on4,40,1370,39,2.65,0.96,0.92,0.87,0.88,0.84,0.87,149,4.13,0.4,0.42,0.76,0.21,3.26,1.95,0.4,0.4,0.4,1,0,5,2,0,7,1,0,0,0,2,0,2,3,5,7,0,0,0,1,0,0,4,3,0,0.11,0.29,0,0,0,0,7,7,7,0,0.1,0,0,0.5,0.5,0.5,39,10,1,4,24,10,2,7,20,0,1,6625,0,0,0,1,16.78,2.54,2.53,2.54,2.53,17,9,8,34,1,0,0,18,4,4,0.66,0.42,1.45,1,0,0,34,26,26,0.37,0,0,2.83,2.83,2.83,3.29,0.12,0.12,0.12,0.12,4,1,0,5,0,0,0,5,0,0,0.12,0,0,0,0,0,5,5,5,0.02,0,0,0.14,0.14,0.14,11.25,0.92,164,22,0,0,1,1,0,0
8474557,2008,Anssi Salmela,ATL,D,other,26,1601,30,5.7,0.24,0.42,0.55,0.45,0.47,0.41,73,4.21,0.23,0.21,0.85,0.12,2.07,2.59,0.22,0.23,0.22,0,2,4,3,5,12,2,0,0,0,0,0,5,2,4,7,0,0,0,1,2,3,7,0,0,0.23,0,0,0,0,0,12,7,7,2,0.05,0,0,0.21,0.21,0.21,30,10,3,4,13,3,4,6,17,0,0,4060,0,0,0,1,11.16,0.9,0.89,0.9,0.89,10,6,8,24,2,0,0,12,4,0,0.43,0.47,0,2,0,0,24,16,16,0.2,0,0,1.03,1.03,1.03,12.99,2.88,2.86,2.88,2.86,10,8,2,20,3,1,0,10,4,4,0.36,0.44,2.07,1,0,2,20,18,18,0.19,0.3,0.3,2.77,2.77,2.76,5.3,7.31,61,76,0.23,0.05,3,2,2,1
8474557,2008,Anssi Salmela,ATL,D,all,26,26069,530,7.95,0.53,0.47,0.55,0.49,0.54,0.5,130,41.24,1.57,2.62,9.61,1.23,25.79,20.25,1.54,1.55,1.52,1,4,42,20,37,99,6,1,2,0,8,0,23,28,41,61,4,8,0,26,7,12,61,1,0,1.48,0.09,0,1,0,0,98.22,62,61.5,9,0.6,0.71,0,2.1,2.08,2.05,530,89,35,81,325,67,97,78,288,0,0,74007,8,10,5,27,230.79,18.59,18.15,18.6,18.15,240,91,124,455,18,18,4,262,54,15,7.58,6.37,4.64,8,6,4,455.38,331,330.66,3.6,4.45,4.75,17.38,17.33,17.09,200.43,16.57,16.34,16.54,16.32,206,76,86,368,15,7,2,225,46,11,7.14,5.16,4.27,6,6,3,371.31,282,283.18,2.7,1.68,1.89,17.38,17.38,17.22,50.86,57.25,1094,1126,0,0,0,0,0,0
8474557,2008,Anssi Salmela,ATL,D,5on5,26,19969,425,7.95,0.52,0.52,0.49,0.52,0.48,0.53,121,19.23,0.66,0.99,4.67,0.61,11.43,10.64,0.66,0.64,0.64,1,2,19,10,22,51,3,0,2,0,3,0,6,18,19,29,4,8,0,24,5,8,28,1,0,0.57,0.09,0,0,0,0,50.22,29,28.5,6,0.19,0.71,0,0.86,0.84,0.83,425,47,25,64,289,50,88,56,231,0,0,53626,8,10,5,22,154.43,12.93,12.63,12.94,12.64,159,62,90,311,12,15,3,173,35,13,5.4,4.06,3.47,5,4,3,311.38,221,220.66,2,3.27,3.55,11.39,11.35,11.26,171.88,11.95,11.78,11.91,11.75,180,63,78,321,11,5,1,200,38,5,6.36,4.24,1.35,5,6,0,324.31,243,244.18,2.25,1.13,1.35,12.85,12.85,12.72,31.28,28.93,796,735,1.47,0.19,37,6,27,5
8474557,2008,Anssi Salmela,ATL,D,4on5,26,444,16,1.55,0.02,0.02,0.14,0.06,0.14,0.08,43,0.62,0.02,0.02,0.1,0.01,0.25,0.6,0.02,0.02,0.02,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.02,0,0,0,0,0,1,1,1,0,0.01,0,0,0.02,0.02,0.02,16,1,6,1,8,3,2,1,10,0,0,2975,0,0,0,1,1.37,0.03,0.03,0.03,0.03,2,0,0,2,0,0,0,2,0,0,0.03,0,0,0,0,0,2,2,2,0.01,0,0,0.04,0.04,0.04,8.78,1.23,1.18,1.23,1.18,8,4,0,12,1,1,1,8,2,2,0.14,0.24,0.85,0,0,1,12,12,12,0.18,0.25,0.25,1.16,1.16,1.14,0.12,6.92,7,101,0,0,0,0,0,0
8474557,2008,Anssi Salmela,ATL,D,5on4,26,4055,59,7.42,0.96,0.94,0.93,0.88,0.95,0.94,55,16.47,0.61,1.35,3.87,0.47,11.65,6.05,0.6,0.61,0.6,0,0,17,7,10,34,1,1,0,0,4,0,11,8,16,23,0,0,0,1,0,1,24,0,0,0.61,0,0,1,0,0,34,24,24,1,0.33,0,0,0.95,0.95,0.92,59,31,1,12,15,11,3,15,30,0,0,5201,0,0,0,0,62.4,4.63,4.5,4.63,4.5,68,22,24,114,4,3,1,73,15,2,1.62,1.84,1.16,1,2,1,114,90,90,1.37,1.18,1.2,4.8,4.8,4.66,3.76,0.19,0.19,0.19,0.19,4,1,4,9,0,0,0,5,0,0,0.19,0,0,0,0,0,9,5,5,0.04,0,0,0.23,0.23,0.23,8.76,0.55,138,18,0,0.03,1,1,0,1
