"","shotID","homeTeamCode","awayTeamCode","season","isPlayoffGame","game_id","homeTeamWon","id","time","timeUntilNextEvent","timeSinceLastEvent","period","team","location","event","goal","shotPlayContinuedOutsideZone","shotPlayContinuedInZone","shotGoalieFroze","shotPlayStopped","shotGeneratedRebound","homeTeamGoals","awayTeamGoals","xCord","yCord","xCordAdjusted","yCordAdjusted","shotAngle","shotAngleAdjusted","shotAnglePlusRebound","shotAngleReboundRoyalRoad","shotDistance","shotType","shotOnEmptyNet","shotRebound","shotAnglePlusReboundSpeed","shotRush","speedFromLastEvent","lastEventxCord","lastEventyCord","distanceFromLastEvent","lastEventShotAngle","lastEventShotDistance","lastEventCategory","lastEventTeam","homeEmptyNet","awayEmptyNet","homeSkatersOnIce","awaySkatersOnIce","awayPenalty1TimeLeft","awayPenalty1Length","homePenalty1TimeLeft","homePenalty1Length","playerPositionThatDidEvent","playerNumThatDidEvent","playerNumThatDidLastEvent","lastEventxCord_adjusted","lastEventyCord_adjusted","timeSinceFaceoff","goalieIdForShot","goalieNameForShot","shooterPlayerId","shooterName","shooterLeftRight","shooterTimeOnIce","shooterTimeOnIceSinceFaceoff","shootingTeamForwardsOnIce","shootingTeamDefencemenOnIce","shootingTeamAverageTimeOnIce","shootingTeamAverageTimeOnIceOfForwards","shootingTeamAverageTimeOnIceOfDefencemen","shootingTeamMaxTimeOnIce","shootingTeamMaxTimeOnIceOfForwards","shootingTeamMaxTimeOnIceOfDefencemen","shootingTeamMinTimeOnIce","shootingTeamMinTimeOnIceOfForwards","shootingTeamMinTimeOnIceOfDefencemen","shootingTeamAverageTimeOnIceSinceFaceoff","shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff","shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMaxTimeOnIceSinceFaceoff","shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff","shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMinTimeOnIceSinceFaceoff","shootingTeamMinTimeOnIceOfForwardsSinceFaceoff","shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff","defendingTeamForwardsOnIce","defendingTeamDefencemenOnIce","defendingTeamAverageTimeOnIce","defendingTeamAverageTimeOnIceOfForwards","defendingTeamAverageTimeOnIceOfDefencemen","defendingTeamMaxTimeOnIce","defendingTeamMaxTimeOnIceOfForwards","defendingTeamMaxTimeOnIceOfDefencemen","defendingTeamMinTimeOnIce","defendingTeamMinTimeOnIceOfForwards","defendingTeamMinTimeOnIceOfDefencemen","defendingTeamAverageTimeOnIceSinceFaceoff","defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff","defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMaxTimeOnIceSinceFaceoff","defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff","defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMinTimeOnIceSinceFaceoff","defendingTeamMinTimeOnIceOfForwardsSinceFaceoff","defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff","offWing","arenaAdjustedShotDistance","arenaAdjustedXCord","arenaAdjustedYCord","arenaAdjustedYCordAbs","timeDifferenceSinceChange","averageRestDifference","xGoal","xFroze","xRebound","xPlayContinuedInZone","xPlayContinuedOutsideZone","xPlayStopped","xShotWasOnGoal","isHomeTeam","shotWasOnGoal","teamCode","arenaAdjustedXCordABS"
"1",614448,"S.J","VAN",2013,0,20014,1,8,63,27,12,1,"AWAY","HOMEZONE","SHOT",0,1,0,0,0,0,0,0,-42,27,42,-27,-29.8759926917,29.8759926917,0,0,54.2033209315,"WRIST",0,0,0,0,2.95334085778,-76,37,35.4400902933,0,0,"HIT","AWAY",0,0,5,5,0,0,0,0,"D",8,0,76,-37,19,8474550,"Antti Niemi",8475690,"Christopher Tanev","R",19,19,3,2,22.6,25,19,25,25,19,19,25,19,19,19,19,19,19,19,19,19,19,3,2,36,34,39,54,54,54,24,24,24,19,19,19,19,19,19,19,19,19,0,54,-42,27,27,0,0,0.0080036,0.181401,0.0355419,0.469174,0.285492,0.0203876,0.648501,0,1,"VAN",42
"2",614449,"S.J","VAN",2013,0,20014,1,9,90,7,27,1,"AWAY","HOMEZONE","SHOT",0,0,1,0,0,0,0,0,-40,-31,40,31,32.3196165082,32.3196165082,62.1956091999,1,57.9827560573,"WRIST",0,0,2.30354108148,0,2.14942490793,-42,27,58.0344725142,-29.8759926917,54.2033209315,"SHOT","AWAY",0,0,5,5,0,0,0,0,"D",2,8,42,-27,46,8474550,"Antti Niemi",8469465,"Dan Hamhuis","L",16,16,3,2,37.6,52,16,52,52,16,16,52,16,34,46,16,46,46,16,16,46,16,3,2,39,41,36,51,51,51,21,21,21,36,37.6666666667,33.5,46,46,46,21,21,21,0,58,-40,-31,31,-5,-2,0.00833967,0.200713,0.0340523,0.431326,0.304931,0.0206378,0.659629,0,1,"VAN",40
"3",614450,"S.J","VAN",2013,0,20014,1,12,110,3,8,1,"AWAY","HOMEZONE","MISS",0,0,1,0,0,0,0,0,-40,-20,40,20,22.2034785321,22.2034785321,0,0,52.9244744896,"WRIST",0,0,0,0,7.88392351561,-97,7,63.0713881249,0,0,"GIVE","HOME",0,0,5,5,0,0,0,0,"D",2,0,97,-7,66,8474550,"Antti Niemi",8469465,"Dan Hamhuis","L",36,36,3,2,57.6,72,36,72,72,36,36,72,36,54,66,36,66,66,36,36,66,36,3,2,59,61,56,71,71,71,41,41,41,56,57.6666666667,53.5,66,66,66,41,41,41,0,54,-39,-20,20,-5,-2,0.0171078,0.154237,0.0409684,0.470882,0.298313,0.0184919,0.596258,0,0,"VAN",39
"4",614451,"S.J","VAN",2013,0,20014,1,19,189,2,22,1,"HOME","AWAYZONE","SHOT",0,0,1,0,0,0,0,0,80,-33,80,-33,-74.7448812969,74.7448812969,0,0,34.205262753,"BACK",0,0,0,0,0.391014784866,75,-40,8.60232526704,0,0,"HIT","HOME",0,0,5,5,0,0,0,0,"C",15,0,75,-40,68,8466141,"Roberto Luongo",8473536,"James Sheppard","L",23,23,3,2,30.2,29,32,32,32,32,23,23,32,30.2,29,32,32,32,32,23,23,32,3,2,21.2,24.6666666667,16,29,29,16,16,16,16,21.2,24.6666666667,16,29,29,16,16,16,16,1,37,79,-36,36,7,9,0.00717569,0.182665,0.0348068,0.43894,0.317574,0.0188387,0.743267,1,1,"S.J",79
"5",614452,"S.J","VAN",2013,0,20014,1,26,240,7,16,1,"HOME","AWAYZONE","SHOT",0,0,1,0,0,0,0,0,44,2,44,2,2.54480437981,2.54480437981,0,0,45.0444225182,"WRIST",0,0,0,0,2.0009763242,69,22,32.0156211872,0,0,"FAC","HOME",0,0,5,4,104,120,0,0,"C",19,0,69,22,16,8466141,"Roberto Luongo",8466138,"Joe Thornton","L",44,16,4,1,35.4,23.5,83,83,44,83,16,16,83,16,16,16,16,16,16,16,16,16,2,2,25.5,16,35,35,16,35,16,16,35,16,16,16,16,16,16,16,16,16,0,47,42,2,2,0,0,0.0375889,0.169182,0.062491,0.500419,0.211508,0.0188109,0.668505,1,1,"S.J",42
"6",614453,"S.J","VAN",2013,0,20014,1,29,275,23,10,1,"HOME","AWAYZONE","MISS",0,1,0,0,0,0,0,0,58,6,58,6,10.9540626434,10.9540626434,0,0,31.5753068077,"WRIST",0,0,0,0,1.99248588452,77,0,19.9248588452,0,0,"BLOCK","HOME",0,0,5,4,69,120,0,0,"C",19,0,77,0,51,8466141,"Roberto Luongo",8466138,"Joe Thornton","L",79,51,4,1,70.4,58.5,118,118,79,118,51,51,118,51,51,51,51,51,51,51,51,51,2,2,60.5,51,70,70,51,70,51,51,70,51,51,51,51,51,51,51,51,51,0,35,55,7,7,0,0,0.0579164,0.119409,0.063539,0.532473,0.207817,0.0188458,0.642076,1,0,"S.J",55
"7",614454,"S.J","VAN",2013,0,20014,1,31,312,15,14,1,"HOME","AWAYZONE","MISS",0,1,0,0,0,0,0,0,33,-27,33,-27,-25.7407083562,25.7407083562,0,0,62.1691241695,"SLAP",0,0,0,0,4.49773185469,95,-16,62.9682459657,0,0,"GIVE","AWAY",0,0,5,4,32,120,0,0,"D",5,0,95,-16,88,8466141,"Roberto Luongo",8474218,"Jason Demers","R",32,32,3,2,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2,2,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,0,62,33,-27,27,-1,-1,0.0280292,0.150806,0.0616864,0.505217,0.237171,0.0170913,0.662457,1,0,"S.J",33
"8",614455,"S.J","VAN",2013,0,20014,1,38,364,4,4,1,"HOME","AWAYZONE","SHOT",0,0,1,0,0,0,0,0,40,26,40,26,27.9509690279,27.9509690279,0,0,55.4707129934,"SNAP",0,0,0,0,11.401754251,84,38,45.607017004,0,0,"HIT","HOME",0,0,5,5,0,0,0,0,"C",10,0,84,38,22,8466141,"Roberto Luongo",8471956,"Andrew Desjardins","L",22,22,3,2,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,3,2,24,19.3333333333,31,40,22,40,14,14,22,20.4,19.3333333333,22,22,22,22,14,14,22,0,55,40,26,26,8,1.6,0.0192615,0.227083,0.039265,0.416514,0.277371,0.0205047,0.667045,1,1,"S.J",40
"9",614456,"S.J","VAN",2013,0,20014,1,40,369,14,1,1,"HOME","AWAYZONE","SHOT",0,1,0,0,0,0,0,0,58,-31,58,-31,-45,45,0,0,43.8406204336,"WRIST",0,0,0,0,14.8660687473,72,-36,14.8660687473,0,0,"HIT","AWAY",0,0,5,5,0,0,0,0,"R",42,0,72,-36,27,8466141,"Roberto Luongo",8471700,"Matt Pelech","R",27,27,3,2,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,3,2,29,24.3333333333,36,45,27,45,19,19,27,25.4,24.3333333333,27,27,27,27,19,19,27,0,46,56,-33,33,8,1.6,0.0135749,0.306559,0.0330867,0.352401,0.2637,0.0306789,0.760204,1,1,"S.J",56
"10",614457,"S.J","VAN",2013,0,20014,1,43,433,3,34,1,"AWAY","HOMEZONE","MISS",0,0,1,0,0,0,0,0,-79,-1,79,1,5.7105931375,5.7105931375,0,0,10.0498756211,"WRIST",0,0,0,0,2.8003027518,12,-29,95.2102935611,0,0,"HIT","HOME",0,0,5,5,0,0,0,0,"L",14,0,-12,29,91,8474550,"Antti Niemi",8470358,"Alexandre Burrows","L",45,45,3,2,46.8,42,54,54,45,54,39,39,54,46.8,42,54,54,45,54,39,39,54,3,2,37.8,37.6666666667,38,46,46,38,29,29,38,37.8,37.6666666667,38,46,46,38,29,29,38,0,12,-77,-1,1,10,9,0.180978,0.102549,0.0938332,0.343066,0.260034,0.0195402,0.889077,0,0,"VAN",77
