"","shotID","homeTeamCode","awayTeamCode","season","isPlayoffGame","game_id","homeTeamWon","id","time","timeUntilNextEvent","timeSinceLastEvent","period","team","location","event","goal","shotPlayContinuedOutsideZone","shotPlayContinuedInZone","shotGoalieFroze","shotPlayStopped","shotGeneratedRebound","homeTeamGoals","awayTeamGoals","xCord","yCord","xCordAdjusted","yCordAdjusted","shotAngle","shotAngleAdjusted","shotAnglePlusRebound","shotAngleReboundRoyalRoad","shotDistance","shotType","shotOnEmptyNet","shotRebound","shotAnglePlusReboundSpeed","shotRush","speedFromLastEvent","lastEventxCord","lastEventyCord","distanceFromLastEvent","lastEventShotAngle","lastEventShotDistance","lastEventCategory","lastEventTeam","homeEmptyNet","awayEmptyNet","homeSkatersOnIce","awaySkatersOnIce","awayPenalty1TimeLeft","awayPenalty1Length","homePenalty1TimeLeft","homePenalty1Length","playerPositionThatDidEvent","playerNumThatDidEvent","playerNumThatDidLastEvent","lastEventxCord_adjusted","lastEventyCord_adjusted","timeSinceFaceoff","goalieIdForShot","goalieNameForShot","shooterPlayerId","shooterName","shooterLeftRight","shooterTimeOnIce","shooterTimeOnIceSinceFaceoff","shootingTeamForwardsOnIce","shootingTeamDefencemenOnIce","shootingTeamAverageTimeOnIce","shootingTeamAverageTimeOnIceOfForwards","shootingTeamAverageTimeOnIceOfDefencemen","shootingTeamMaxTimeOnIce","shootingTeamMaxTimeOnIceOfForwards","shootingTeamMaxTimeOnIceOfDefencemen","shootingTeamMinTimeOnIce","shootingTeamMinTimeOnIceOfForwards","shootingTeamMinTimeOnIceOfDefencemen","shootingTeamAverageTimeOnIceSinceFaceoff","shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff","shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMaxTimeOnIceSinceFaceoff","shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff","shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMinTimeOnIceSinceFaceoff","shootingTeamMinTimeOnIceOfForwardsSinceFaceoff","shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff","defendingTeamForwardsOnIce","defendingTeamDefencemenOnIce","defendingTeamAverageTimeOnIce","defendingTeamAverageTimeOnIceOfForwards","defendingTeamAverageTimeOnIceOfDefencemen","defendingTeamMaxTimeOnIce","defendingTeamMaxTimeOnIceOfForwards","defendingTeamMaxTimeOnIceOfDefencemen","defendingTeamMinTimeOnIce","defendingTeamMinTimeOnIceOfForwards","defendingTeamMinTimeOnIceOfDefencemen","defendingTeamAverageTimeOnIceSinceFaceoff","defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff","defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMaxTimeOnIceSinceFaceoff","defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff","defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMinTimeOnIceSinceFaceoff","defendingTeamMinTimeOnIceOfForwardsSinceFaceoff","defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff","offWing","arenaAdjustedShotDistance","arenaAdjustedXCord","arenaAdjustedYCord","arenaAdjustedYCordAbs","timeDifferenceSinceChange","averageRestDifference","xGoal","xFroze","xRebound","xPlayContinuedInZone","xPlayContinuedOutsideZone","xPlayStopped","xShotWasOnGoal","isHomeTeam","shotWasOnGoal","teamCode","arenaAdjustedXCordABS"
"1",833897,"CGY","VAN",2015,0,20003,0,8,53,3,25,1,"HOME","AWAYZONE","SHOT",0,1,0,0,0,0,0,0,-78,-12,78,12,47.489552922,47.489552922,0,0,16.2788205961,"SNAP",0,0,0,0,1.29799845917,-96,-39,32.4499614792,0,0,"HIT","HOME",0,0,5,5,0,0,0,0,"L",13,0,96,39,51,8468011,"Ryan Miller",8476346,"Johnny Gaudreau","L",17,17,3,2,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,3,2,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,17,-78,-13,13,4,4,0.0796046,0.144038,0.0435892,0.431157,0.279587,0.0220247,0.820247,1,1,"CGY",78
"2",833898,"CGY","VAN",2015,0,20003,0,15,97,1,2,1,"HOME","AWAYZONE","SHOT",0,0,0,1,0,0,0,0,-70,-33,70,33,60.0684881595,60.0684881595,0,0,38.0788655293,"WRIST",0,0,0,0,26.7301328092,-17,-26,53.4602656185,0,0,"TAKE","HOME",0,0,5,5,0,0,0,0,"L",52,0,17,26,38,8468011,"Ryan Miller",8475650,"Brandon Bollig","L",38,38,3,2,14,16.6666666667,10,38,38,10,2,2,10,14,16.6666666667,10,38,38,10,2,2,10,3,2,27.8,8.33333333333,57,57,10,57,5,5,57,20.2,8.33333333333,38,38,10,38,5,5,38,0,40,-69,-35,35,-3,-6.2,0.0145207,0.277508,0.0266827,0.370826,0.291834,0.0186288,0.781451,1,1,"CGY",69
"3",833899,"CGY","VAN",2015,0,20003,0,21,135,0,4,1,"HOME","AWAYZONE","SHOT",0,0,0,1,0,0,0,0,-38,-31,38,31,31.2930389959,31.2930389959,0,0,59.6824932455,"SLAP",0,0,0,0,16.5604951617,-96,1,66.2419806467,0,0,"TAKE","HOME",0,0,5,5,0,0,0,0,"D",5,0,96,-1,30,8468011,"Ryan Miller",8470966,"Mark Giordano","L",30,30,3,2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3,2,32.8,30,37,37,30,37,30,30,37,30,30,30,30,30,30,30,30,30,0,62,-36,-32,32,0,0,0.0246559,0.175497,0.0479913,0.437095,0.291886,0.022874,0.6114,1,1,"CGY",36
"4",833900,"CGY","VAN",2015,0,20003,0,34,269,7,14,1,"AWAY","HOMEZONE","SHOT",0,0,1,0,0,0,0,0,34,6,34,6,6.22582906443,6.22582906443,6.22582906443,0,55.3263047745,"WRIST",0,0,0.44470207603,0,8.30078678346,-82,-1,116.211014968,0,0,"BLOCK","HOME",0,0,4,5,0,0,89,120,"D",23,0,-82,-1,20,8471403,"Karri Ramo",8471303,"Alexander Edler","L",31,20,4,1,31.8,32,31,35,35,31,31,31,31,20,20,20,20,20,20,20,20,20,2,2,25.5,20,31,31,20,31,20,20,31,20,20,20,20,20,20,20,20,20,0,57,32,6,6,0,0,0.00372048,0.194271,0.0529981,0.488195,0.241922,0.0188935,0.663863,0,1,"VAN",32
"5",833901,"CGY","VAN",2015,0,20003,0,35,276,53,7,1,"AWAY","HOMEZONE","MISS",0,1,0,0,0,0,0,0,70,26,70,26,53.8418145602,53.8418145602,47.6159854958,0,32.2024843762,"WRIST",0,0,6.80228364225,0,5.88321722342,34,6,41.1825205639,6.22582906443,55.3263047745,"SHOT","AWAY",0,0,4,5,0,0,82,120,"R",17,23,34,6,27,8471403,"Karri Ramo",8468085,"Radim Vrbata","R",38,27,4,1,38.8,39,38,42,42,38,38,38,38,27,27,27,27,27,27,27,27,27,2,2,32.5,27,38,38,27,38,27,27,38,27,27,27,27,27,27,27,27,27,1,33,70,27,27,0,0,0.00623201,0.150518,0.0515791,0.529775,0.241389,0.0205067,0.718746,0,0,"VAN",70
"6",833902,"CGY","VAN",2015,0,20003,0,36,329,6,53,1,"AWAY","HOMEZONE","SHOT",0,0,1,0,0,0,0,0,80,-9,80,-9,-45,45,98.8418145602,1,12.7279220614,"TIP",0,0,1.86493989736,0,0.686802819743,70,26,36.4005494464,53.8418145602,32.2024843762,"MISS","AWAY",0,0,4,5,0,0,29,120,"C",53,17,70,26,80,8471403,"Karri Ramo",8477500,"Bo Horvat","L",32,32,3,2,33.8,32,36.5,41,32,41,32,32,32,33.8,32,36.5,41,32,41,32,32,32,2,2,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,15,78,-11,11,5,6.8,0.011038,0.106696,0.0591772,0.531158,0.260666,0.0312652,0.503667,0,1,"VAN",78
"7",833903,"CGY","VAN",2015,0,20003,0,37,335,11,6,1,"AWAY","HOMEZONE","SHOT",0,0,1,0,0,0,0,0,77,6,77,6,26.5650511771,26.5650511771,71.5650511771,1,13.416407865,"BACK",0,0,11.9275085295,0,2.5495097568,80,-9,15.2970585408,-45,12.7279220614,"SHOT","AWAY",0,0,4,5,0,0,23,120,"L",14,53,80,-9,86,8471403,"Karri Ramo",8470358,"Alexandre Burrows","L",38,38,3,2,39.8,38,42.5,47,38,47,38,38,38,39.8,38,42.5,47,38,47,38,38,38,2,2,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,0,15,76,7,7,5,6.8,0.00558676,0.0900138,0.0715647,0.55126,0.258744,0.0228308,0.672365,0,1,"VAN",76
"8",833904,"CGY","VAN",2015,0,20003,0,38,346,4,11,1,"AWAY","HOMEZONE","MISS",0,0,1,0,0,0,0,0,69,6,69,6,16.699244234,16.699244234,9.86580694308,0,20.8806130178,"BACK",0,0,0.89689154028,0,0.727272727273,77,6,8,26.5650511771,13.416407865,"SHOT","AWAY",0,0,4,5,0,0,12,120,"L",14,14,77,6,97,8471403,"Karri Ramo",8470358,"Alexandre Burrows","L",49,49,3,2,50.8,49,53.5,58,49,58,49,49,49,50.8,49,53.5,58,49,58,49,49,49,2,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,0,22,68,6,6,5,6.8,0.00449038,0.109241,0.0655721,0.519613,0.283089,0.0179954,0.605623,0,0,"VAN",68
"9",833905,"CGY","VAN",2015,0,20003,0,40,385,0,35,1,"HOME","AWAYZONE","MISS",0,0,0,0,1,0,0,0,-68,10,68,-10,-25.4633450619,25.4633450619,25.4633450619,0,23.2594066992,"WRIST",0,0,0.727524144625,0,3.8749851876,67,-3,135.624481566,0,0,"BLOCK","AWAY",0,0,5,5,0,0,0,0,"D",27,0,-67,3,136,8468011,"Ryan Miller",8476462,"Dougie Hamilton","R",83,83,3,2,60,66.6666666667,50,83,83,83,17,34,17,60,66.6666666667,50,83,83,83,17,34,17,1,0,4,20,999,20,20,0,20,20,999,4,20,999,20,20,0,20,20,999,0,23,-68,10,10,-3,56,0.0552032,0.162487,0.0398029,0.312641,0.404147,0.0257194,0.742101,1,0,"CGY",68
"10",833906,"CGY","VAN",2015,0,20003,0,43,395,14,10,1,"HOME","AWAYZONE","SHOT",0,0,1,0,0,0,0,0,-60,8,60,-8,-15.4221613187,15.4221613187,0,0,30.083217913,"WRIST",0,0,0,0,1.66433169771,-69,22,16.6433169771,0,0,"FAC","HOME",0,0,5,5,0,0,0,0,"D",27,0,69,-22,10,8468011,"Ryan Miller",8476462,"Dougie Hamilton","R",10,10,3,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,32,-58,9,9,0,0,0.0400759,0.126076,0.042852,0.472952,0.298007,0.0200377,0.62433,1,1,"CGY",58
