"","shotID","arenaAdjustedShotDistance","arenaAdjustedXCord","arenaAdjustedXCordABS","arenaAdjustedYCord","arenaAdjustedYCordAbs","averageRestDifference","awayEmptyNet","awayPenalty1Length","awayPenalty1TimeLeft","awaySkatersOnIce","awayTeamCode","awayTeamGoals","defendingTeamAverageTimeOnIce","defendingTeamAverageTimeOnIceOfDefencemen","defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","defendingTeamAverageTimeOnIceOfForwards","defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff","defendingTeamAverageTimeOnIceSinceFaceoff","defendingTeamDefencemenOnIce","defendingTeamForwardsOnIce","defendingTeamMaxTimeOnIce","defendingTeamMaxTimeOnIceOfDefencemen","defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMaxTimeOnIceOfForwards","defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff","defendingTeamMaxTimeOnIceSinceFaceoff","defendingTeamMinTimeOnIce","defendingTeamMinTimeOnIceOfDefencemen","defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMinTimeOnIceOfForwards","defendingTeamMinTimeOnIceOfForwardsSinceFaceoff","defendingTeamMinTimeOnIceSinceFaceoff","distanceFromLastEvent","event","game_id","goal","goalieIdForShot","goalieNameForShot","homeEmptyNet","homePenalty1Length","homePenalty1TimeLeft","homeSkatersOnIce","homeTeamCode","homeTeamGoals","homeTeamWon","id","isHomeTeam","isPlayoffGame","lastEventCategory","lastEventShotAngle","lastEventShotDistance","lastEventTeam","lastEventxCord","lastEventxCord_adjusted","lastEventyCord","lastEventyCord_adjusted","location","offWing","period","playerNumThatDidEvent","playerNumThatDidLastEvent","playerPositionThatDidEvent","season","shooterLeftRight","shooterName","shooterPlayerId","shooterTimeOnIce","shooterTimeOnIceSinceFaceoff","shootingTeamAverageTimeOnIce","shootingTeamAverageTimeOnIceOfDefencemen","shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","shootingTeamAverageTimeOnIceOfForwards","shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff","shootingTeamAverageTimeOnIceSinceFaceoff","shootingTeamDefencemenOnIce","shootingTeamForwardsOnIce","shootingTeamMaxTimeOnIce","shootingTeamMaxTimeOnIceOfDefencemen","shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMaxTimeOnIceOfForwards","shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff","shootingTeamMaxTimeOnIceSinceFaceoff","shootingTeamMinTimeOnIce","shootingTeamMinTimeOnIceOfDefencemen","shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMinTimeOnIceOfForwards","shootingTeamMinTimeOnIceOfForwardsSinceFaceoff","shootingTeamMinTimeOnIceSinceFaceoff","shotAngle","shotAngleAdjusted","shotAnglePlusRebound","shotAnglePlusReboundSpeed","shotAngleReboundRoyalRoad","shotDistance","shotGeneratedRebound","shotGoalieFroze","shotOnEmptyNet","shotPlayContinuedInZone","shotPlayContinuedOutsideZone","shotPlayStopped","shotRebound","shotRush","shotType","shotWasOnGoal","speedFromLastEvent","team","teamCode","time","timeDifferenceSinceChange","timeSinceFaceoff","timeSinceLastEvent","timeUntilNextEvent","xCord","xCordAdjusted","xFroze","xGoal","xPlayContinuedInZone","xPlayContinuedOutsideZone","xPlayStopped","xRebound","xShotWasOnGoal","yCord","yCordAdjusted"
"11",250,28,-71,71,21,21,0,0,0,0,5,"VAN",0,16,16,16,16,16,16,2,2,16,16,16,16,16,16,16,16,16,16,16,16,26.0192236625,"SHOT",20004,0,8475156,"Mikko Koskinen",0,120,104,4,"EDM",0,0,52,0,0,"MISS",-25.0168934781,49.6588360717,"AWAY",-44,44,21,-21,"HOMEZONE",0,1,6,6,"R",2020,"R","Brock Boeser",8478444,16,16,18.8,16,16,19.5,16,16,1,4,30,16,16,30,16,16,16,16,16,16,16,16,-49.1849161251,49.1849161251,24.168022647,3.45257466386,0,29.0688837075,0,0,0,0,1,0,0,0,"WRIST",1,3.71703195179,"AWAY","VAN",655,0,16,7,30,-70,70,0.125653,0.00846265,0.533084,0.257271,0.0214919,0.0540371,0.728829,22,-22
"12",251,33,64,64,21,21,-26,0,0,0,5,"VAN",0,54.8,52,52,55.5,52,52,1,4,66,52,52,66,52,52,52,52,52,52,52,52,114,"SHOT",20004,0,8474651,"Braden Holtby",0,120,68,4,"EDM",0,0,54,1,0,"GIVE",0,0,"AWAY",-51,-51,22,22,"AWAYZONE",0,1,16,0,"L",2020,"L","Jujhar Khaira",8476915,26,26,26,26,26,26,26,26,2,2,26,26,26,26,26,26,26,26,26,26,26,26,40.2363583093,40.2363583093,0,0,0,34.0587727319,0,0,0,0,1,0,0,0,"WRIST",1,19,"HOME","EDM",691,-26,52,6,28,63,63,0.114131,0.0435399,0.236906,0.558105,0.0248867,0.0224316,0.760112,22,22
"13",252,35,-70,70,29,29,26,0,0,0,5,"VAN",0,54,54,54,54,54,54,2,2,54,54,54,54,54,54,54,54,54,54,54,54,132.242202039,"SHOT",20004,0,8475156,"Mikko Koskinen",0,120,40,4,"EDM",0,0,55,0,0,"SHOT",0,0,"HOME",63,-63,22,-22,"HOMEZONE",1,1,40,16,"C",2020,"L","Elias Pettersson",8480012,80,80,82.8,80,80,83.5,80,80,1,4,94,80,80,94,80,80,80,80,80,80,80,80,-56.309932474,56.309932474,0,0,0,36.0555127546,0,0,0,1,0,0,0,0,"SNAP",1,4.72293578709,"AWAY","VAN",719,26,80,28,8,-69,69,0.158172,0.00814388,0.497008,0.274737,0.022085,0.0398543,0.76757,30,-30
"14",253,37,-55,55,14,14,26,0,0,0,5,"VAN",0,62,62,62,62,62,62,2,2,62,62,62,62,62,62,62,62,62,62,62,62,21.9317121995,"MISS",20004,0,8475156,"Mikko Koskinen",0,120,32,4,"EDM",0,0,56,0,0,"SHOT",-56.309932474,36.0555127546,"AWAY",-69,69,30,-30,"HOMEZONE",1,1,40,40,"C",2020,"L","Elias Pettersson",8480012,88,88,90.8,88,88,91.5,88,88,1,4,102,88,88,102,88,88,88,88,88,88,88,88,-21.8014094864,21.8014094864,34.5085229877,4.31356537346,0,37.6961536499,0,0,0,1,0,0,0,0,"WRIST",0,2.74146402493,"AWAY","VAN",727,26,88,8,6,-54,54,0.120001,0.00568805,0.559637,0.229551,0.0207778,0.064345,0.640158,14,-14
"15",254,13,-76,76,0,0,26,0,0,0,5,"VAN",0,68,68,68,68,68,68,2,2,68,68,68,68,68,68,68,68,68,68,68,68,27.7848879789,"SHOT",20004,0,8475156,"Mikko Koskinen",0,120,26,4,"EDM",0,0,57,0,0,"MISS",-21.8014094864,37.6961536499,"AWAY",-54,54,14,-14,"HOMEZONE",0,1,36,40,"L",2020,"L","Nils Hoglander",8481535,94,94,96.8,94,94,97.5,94,94,1,4,108,94,94,108,94,94,94,94,94,94,94,94,0,0,21.8014094864,3.63356824773,0,11,0,0,0,0,1,0,0,0,"TIP",1,4.63081466315,"AWAY","VAN",733,26,94,6,38,-78,78,0.0972652,0.0121989,0.54457,0.237113,0.0317537,0.0770995,0.583672,0,0
"16",255,51,41,41,17,17,-13.4,0,0,0,5,"VAN",0,36,36,36,36,36,36,2,3,36,36,36,36,36,36,36,36,36,36,36,36,117.388244727,"SHOT",20004,0,8474651,"Braden Holtby",0,0,0,5,"EDM",0,0,58,1,0,"SHOT",0,0,"AWAY",-78,-78,0,0,"AWAYZONE",0,1,25,36,"D",2020,"L","Darnell Nurse",8477498,35,35,22.6,35,35,14.3333333333,14.3333333333,22.6,2,3,35,35,35,16,16,35,11,35,35,11,11,11,19.4400348282,19.4400348282,0,0,0,54.083269132,1,0,0,0,0,0,0,0,"SLAP",1,3.08916433491,"HOME","EDM",771,-25,132,38,1,38,38,0.151273,0.0174277,0.417783,0.349773,0.0249651,0.0387784,0.640686,18,18
"17",256,8,81,81,0,0,-13.4,0,0,0,5,"VAN",0,37,37,37,37,37,37,2,3,37,37,37,37,37,37,37,37,37,37,37,37,46.6154480832,"SHOT",20004,0,8474651,"Braden Holtby",0,0,0,5,"EDM",0,0,59,1,0,"SHOT",19.4400348282,54.083269132,"HOME",38,38,18,18,"AWAYZONE",0,1,56,25,"R",2020,"R","Kailer Yamamoto",8479977,17,17,23.6,36,36,15.3333333333,15.3333333333,23.6,2,3,36,36,36,17,17,36,12,36,36,12,12,12,0,0,19.4400348282,19.4400348282,0,8,0,0,0,1,0,0,1,0,"WRIST",1,46.6154480832,"HOME","EDM",772,-25,133,1,1,81,81,0.319731,0.236012,0.196889,0.124811,0.0229247,0.0996324,0.97506,0,0
"18",257,20,-69,69,-1,1,0,0,0,0,5,"VAN",0,28.8,25,15,31.3333333333,15,15,2,3,54,25,15,54,15,15,15,25,15,15,15,15,140.577380826,"GOAL",20004,1,8475156,"Mikko Koskinen",0,0,0,5,"EDM",0,0,71,0,0,"FAC",0,0,"HOME",69,-69,-22,22,"HOMEZONE",0,1,53,0,"C",2020,"L","Bo Horvat",8477500,25,15,21,15,15,25,15,15,2,3,25,15,15,25,15,15,15,15,15,25,15,15,3.01278750418,3.01278750418,0,0,0,19.0262975904,0,0,0,0,0,0,0,0,"WRIST",1,9.37182538842,"AWAY","VAN",932,0,15,15,0,-70,70,0.110304,0.132654,0.397326,0.262934,0.0208382,0.0759427,0.776429,-1,1
"19",258,20,80,80,-18,18,-11.2,0,0,0,5,"VAN",1,35.8,46,38.5,29,29,32.8,2,3,72,72,57,29,29,57,20,20,20,29,29,20,82.7647267862,"SHOT",20004,0,8474651,"Braden Holtby",0,0,0,5,"EDM",0,0,73,1,0,"FAC",0,0,"HOME",0,0,0,0,"AWAYZONE",1,1,29,0,"C",2020,"L","Leon Draisaitl",8477934,20,20,21.6,18,18,24,24,21.6,2,3,26,18,18,26,26,26,18,18,18,20,20,18,-64.7988763545,64.7988763545,0,0,0,18.7882942281,0,0,0,0,1,0,0,0,"SNAP",1,1.45201275064,"HOME","EDM",989,-2,57,57,18,81,81,0.137821,0.05324,0.418447,0.324045,0.0214849,0.0449627,0.786076,-17,-17
"20",259,38,-56,56,19,19,11.6,0,0,0,5,"VAN",1,7.4,5.5,5.5,8.66666666667,8.66666666667,7.4,2,3,11,11,11,11,11,11,0,0,0,4,4,0,36.1386219992,"MISS",20004,0,8475156,"Mikko Koskinen",0,0,0,5,"EDM",0,0,82,0,0,"BLOCK",0,0,"AWAY",-64,64,-15,15,"HOMEZONE",0,1,20,0,"C",2020,"R","Brandon Sutter",8474091,19,19,19,19,19,19,19,19,2,3,19,19,19,19,19,19,19,19,19,19,19,19,-30.4655449195,30.4655449195,0,0,0,39.4461658466,0,0,0,0,0,1,0,0,"WRIST",0,36.1386219992,"AWAY","VAN",1071,19,51,1,0,-55,55,0.366865,0.0598849,0.292974,0.186041,0.0513872,0.0428485,0.805938,20,-20
