playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8469490,2009,Tim Jackman,NYI,R,5on4,54,96,10,-0.42,0,0.96,0,0.91,0,0.87,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,2,5,1,1,1,7,0,0,3911,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58,0.24,96,10,0,0,0,0,0,0
8470131,2009,Dwight Helminen,S.J,C,other,3,274,6,-0.58,0,0.66,0,0.71,0,0.64,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,4,0,0,1,5,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0.61,10,4,0.13,0,2,0,2,0
8470131,2009,Dwight Helminen,S.J,C,all,3,1916,47,-0.02,0.32,0.38,0.35,0.45,0.33,0.44,28,1.42,0.14,0.1,0.24,0.04,0.8,0.67,0.14,0.15,0.15,0,0,1,1,2,4,1,1,0,0,0,0,1,0,0,1,0,0,1,4,0,0,2,0,0,0.14,0,0,1,0,0,4.34,2,2.2,0,0.02,0,0,0.16,0.17,0.17,47,4,6,10,27,6,7,7,27,1,5,9184,0,2,1,0,9.2,0.57,0.56,0.61,0.61,11,2,6,19,1,0,0,12,1,0,0.43,0.14,0,1,0,0,19.73,13,13.59,0.11,0,0,0.68,0.73,0.72,18.77,1.19,1.15,1.15,1.11,19,7,10,36,2,0,0,22,2,2,0.57,0.22,0.4,1,0,1,34.87,26,24.91,0.24,0,0.06,1.37,1.32,1.27,4.66,7.63,128,157,0,0,0,0,0,0
8470131,2009,Dwight Helminen,S.J,C,5on5,3,1636,40,-0.02,0.33,0.4,0.35,0.43,0.34,0.41,27,1.42,0.14,0.1,0.24,0.04,0.8,0.67,0.14,0.15,0.15,0,0,1,1,2,4,1,1,0,0,0,0,1,0,0,1,0,0,1,4,0,0,2,0,0,0.14,0,0,1,0,0,4.34,2,2.2,0,0.02,0,0,0.16,0.17,0.17,40,3,6,9,22,6,7,5,22,1,5,6027,0,2,1,0,9.2,0.57,0.56,0.61,0.61,11,2,6,19,1,0,0,12,1,0,0.43,0.14,0,1,0,0,19.73,13,13.59,0.11,0,0,0.68,0.73,0.72,18.09,1.18,1.14,1.13,1.09,19,6,10,35,2,0,0,21,2,2,0.55,0.22,0.4,1,0,1,33.87,25,23.91,0.23,0,0.06,1.35,1.29,1.25,2.68,4.04,85,113,0.05,0,2,0,1,0
8470131,2009,Dwight Helminen,S.J,C,4on5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8470131,2009,Dwight Helminen,S.J,C,5on4,3,6,1,-0.25,0,1,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,8,0,0,0,0,0,0,0
8460626,2009,Bryce Salvador,N.J,D,other,79,2898,68,9.38,0.65,0.62,0.45,0.6,0.47,0.62,166,2.85,0.17,0.16,0.56,0.09,1.6,1.42,0.16,0.17,0.16,2,0,3,1,2,6,2,0,0,0,1,0,0,3,3,4,0,0,0,2,0,0,3,1,0,0.07,0.09,0,0,0,0,6,4,4,0,0.04,0,0,0.21,0.21,0.2,68,9,18,6,35,6,6,13,43,0,0,6410,0,0,0,5,27.37,7.43,7.36,7.43,7.36,31,6,7,44,6,1,0,20,8,9,0.67,0.94,5.82,0,0,6,44,37,37,0.35,0.23,0.23,7.56,7.56,7.51,28.99,4.05,3.18,4.05,3.18,31,10,13,54,3,1,0,31,5,5,1.13,0.63,2.28,2,1,0,54,41,41,0.57,0.16,0.16,4.46,4.46,3.57,12.99,7.88,143,94,0.12,0.01,2,1,2,1
8460626,2009,Bryce Salvador,N.J,D,all,79,89416,2096,16.73,0.47,0.55,0.47,0.54,0.49,0.54,312,45.07,1.3,2.53,12.48,1.54,28.07,22.08,1.27,1.29,1.26,2,8,47,21,38,106,14,4,1,0,18,2,19,24,43,64,24,57,0,95,17,33,66,2,0,1.09,0.2,0,4,0,0,106.84,68,68.11,23,0.5,0.04,0.14,1.66,1.66,1.64,2096,126,193,305,1472,265,240,259,1332,0,0,199184,57,33,12,109,645.4,54.33,53.32,54.75,53.7,677,223,243,1143,49,33,11,707,153,40,21.28,17.92,15.14,16,17,16,1153.21,900,906.76,8.08,6.26,8.08,54.32,54.6,54.13,682.21,60.19,57.67,60.05,57.54,695,240,332,1267,56,39,6,706,168,61,19.95,20.23,20.01,21,18,17,1261.64,935,931.25,9.69,9.15,9.64,60.24,60.02,58.28,150.84,123.09,2921,2483,0,0,0,0,0,0
8460626,2009,Bryce Salvador,N.J,D,5on5,79,77582,1773,16.73,0.49,0.52,0.5,0.52,0.52,0.52,292,42.23,1.13,2.37,11.91,1.46,26.46,20.66,1.1,1.12,1.1,0,8,44,20,36,100,12,4,1,0,17,2,19,21,40,60,24,57,0,81,10,30,63,1,0,1.02,0.11,0,4,0,0,100.84,64,64.11,20,0.46,0.04,0.14,1.45,1.45,1.44,1773,110,96,280,1287,240,209,206,1118,0,0,154244,57,33,12,89,580.39,42.36,41.45,42.78,41.84,606,207,230,1043,40,29,11,654,135,24,19.53,15.76,7.07,15,17,8,1053.21,813,819.76,7.28,5.61,7.39,42.24,42.52,42.1,560.23,43.83,42.79,43.7,42.66,570,195,272,1037,37,31,5,594,133,38,16.86,16.13,10.84,15,14,8,1031.64,765,761.25,7.07,7.32,7.88,43.02,42.79,42.41,92.76,85.43,2102,1961,4.64,1.48,122,31,92,29
8460626,2009,Bryce Salvador,N.J,D,4on5,79,8589,230,15.03,0.22,0.09,0.22,0.13,0.25,0.13,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,230,4,79,17,130,17,23,35,155,0,0,12493,0,0,0,0,31.24,3.43,3.4,3.43,3.4,34,7,6,47,2,3,0,27,8,6,0.86,0.96,1.61,1,0,1,47,41,41,0.35,0.43,0.47,3.32,3.32,3.31,89.48,12.11,11.5,12.11,11.5,89,35,46,170,16,7,1,77,29,18,1.85,3.38,6.88,4,3,9,170,124,124,2.01,1.67,1.6,12.53,12.53,12.06,2.07,20.86,41,286,0.17,0,6,1,4,0
8460626,2009,Bryce Salvador,N.J,D,5on4,79,347,25,4.38,1,0.92,1,0.89,1,0.88,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,2,20,2,2,5,16,0,0,6713,0,0,0,3,3.73,0.89,0.89,0.89,0.89,3,2,0,5,1,0,0,2,2,1,0.01,0.25,0.63,0,0,1,5,5,5,0.06,0,0,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.37,1.01,150,18,0,0,0,0,0,0
