"","shotID","homeTeamCode","awayTeamCode","season","isPlayoffGame","game_id","homeTeamWon","id","time","timeUntilNextEvent","timeSinceLastEvent","period","team","location","event","goal","shotPlayContinuedOutsideZone","shotPlayContinuedInZone","shotGoalieFroze","shotPlayStopped","shotGeneratedRebound","homeTeamGoals","awayTeamGoals","xCord","yCord","xCordAdjusted","yCordAdjusted","shotAngle","shotAngleAdjusted","shotAnglePlusRebound","shotAngleReboundRoyalRoad","shotDistance","shotType","shotOnEmptyNet","shotRebound","shotAnglePlusReboundSpeed","shotRush","speedFromLastEvent","lastEventxCord","lastEventyCord","distanceFromLastEvent","lastEventShotAngle","lastEventShotDistance","lastEventCategory","lastEventTeam","homeEmptyNet","awayEmptyNet","homeSkatersOnIce","awaySkatersOnIce","awayPenalty1TimeLeft","awayPenalty1Length","homePenalty1TimeLeft","homePenalty1Length","playerPositionThatDidEvent","playerNumThatDidEvent","playerNumThatDidLastEvent","lastEventxCord_adjusted","lastEventyCord_adjusted","timeSinceFaceoff","goalieIdForShot","goalieNameForShot","shooterPlayerId","shooterName","shooterLeftRight","shooterTimeOnIce","shooterTimeOnIceSinceFaceoff","shootingTeamForwardsOnIce","shootingTeamDefencemenOnIce","shootingTeamAverageTimeOnIce","shootingTeamAverageTimeOnIceOfForwards","shootingTeamAverageTimeOnIceOfDefencemen","shootingTeamMaxTimeOnIce","shootingTeamMaxTimeOnIceOfForwards","shootingTeamMaxTimeOnIceOfDefencemen","shootingTeamMinTimeOnIce","shootingTeamMinTimeOnIceOfForwards","shootingTeamMinTimeOnIceOfDefencemen","shootingTeamAverageTimeOnIceSinceFaceoff","shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff","shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMaxTimeOnIceSinceFaceoff","shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff","shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMinTimeOnIceSinceFaceoff","shootingTeamMinTimeOnIceOfForwardsSinceFaceoff","shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff","defendingTeamForwardsOnIce","defendingTeamDefencemenOnIce","defendingTeamAverageTimeOnIce","defendingTeamAverageTimeOnIceOfForwards","defendingTeamAverageTimeOnIceOfDefencemen","defendingTeamMaxTimeOnIce","defendingTeamMaxTimeOnIceOfForwards","defendingTeamMaxTimeOnIceOfDefencemen","defendingTeamMinTimeOnIce","defendingTeamMinTimeOnIceOfForwards","defendingTeamMinTimeOnIceOfDefencemen","defendingTeamAverageTimeOnIceSinceFaceoff","defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff","defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMaxTimeOnIceSinceFaceoff","defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff","defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMinTimeOnIceSinceFaceoff","defendingTeamMinTimeOnIceOfForwardsSinceFaceoff","defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff","offWing","arenaAdjustedShotDistance","arenaAdjustedXCord","arenaAdjustedYCord","arenaAdjustedYCordAbs","timeDifferenceSinceChange","averageRestDifference","xGoal","xFroze","xRebound","xPlayContinuedInZone","xPlayContinuedOutsideZone","xPlayStopped","xShotWasOnGoal","isHomeTeam","shotWasOnGoal","teamCode","arenaAdjustedXCordABS"
"1",945508,"VAN","CGY",2016,0,20029,1,3,20,26,19,1,"HOME","AWAYZONE","MISS",0,1,0,0,0,0,0,0,-42,12,42,-12,-14.3227199782,14.3227199782,0,0,48.5077313425,"WRIST",0,0,0,0,2.31399451968,0,-1,43.965895874,0,0,"FAC","HOME",0,0,5,5,0,0,0,0,"D",8,0,0,1,19,8473434,"Chad Johnson",8475690,"Christopher Tanev","R",20,19,3,2,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,3,2,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,0,50,-41,12,12,0,0,0.0149245,0.180412,0.0358107,0.444406,0.30266,0.0217869,0.647371,1,0,"VAN",41
"2",945509,"VAN","CGY",2016,0,20029,1,6,66,0,6,1,"HOME","AWAYZONE","SHOT",0,0,0,1,0,0,0,0,-55,-2,55,2,3.36646066343,3.36646066343,0,0,34.0587727319,"WRIST",0,0,0,0,9.09364857714,-96,34,54.5618914628,0,0,"HIT","AWAY",0,0,5,5,0,0,0,0,"D",44,0,96,-34,65,8473434,"Chad Johnson",8475790,"Erik Gudbranson","R",30,30,3,2,32.2,33.6666666667,30,35,35,30,30,33,30,32.2,33.6666666667,30,35,35,30,30,33,30,3,2,29.6,34,23,34,34,23,23,34,23,29.6,34,23,34,34,23,23,34,23,1,36,-53,-2,2,7,2.6,0.0467489,0.139405,0.0479448,0.473409,0.273834,0.0186584,0.656009,1,1,"VAN",53
"3",945510,"VAN","CGY",2016,0,20029,1,17,182,45,44,1,"AWAY","HOMEZONE","MISS",0,1,0,0,0,0,0,0,48,0,48,0,0,0,0,0,41,"SNAP",0,0,0,0,2.7056911248,-69,22,119.050409491,0,0,"FAC","AWAY",0,0,5,5,0,0,0,0,"R",67,0,-69,22,44,8468011,"Ryan Miller",8473564,"Michael Frolik","L",7,7,3,2,4,5.33333333333,2,7,7,2,2,2,2,4,5.33333333333,2,7,7,2,2,2,2,3,2,11.6,15.3333333333,6,44,44,7,1,1,5,11.6,15.3333333333,6,44,44,7,1,1,5,0,43,46,0,0,1,-7.6,0.0435526,0.252062,0.0326653,0.374738,0.270216,0.0267654,0.770325,0,0,"CGY",46
"4",945511,"VAN","CGY",2016,0,20029,1,18,227,7,45,1,"AWAY","HOMEZONE","SHOT",0,0,1,0,0,0,0,0,48,-26,48,-26,-32.3806777066,32.3806777066,32.3806777066,0,48.5489443758,"WRIST",0,0,0.719570615702,0,0.577777777778,48,0,26,0,41,"MISS","AWAY",0,0,5,5,0,0,0,0,"R",39,67,48,0,89,8468011,"Ryan Miller",8475163,"Alex Chiasson","R",9,9,3,2,8,11.3333333333,3,16,16,4,2,9,2,8,11.3333333333,3,16,16,4,2,9,2,3,2,25.4,22.6666666667,29.5,52,46,52,7,7,7,25.4,22.6666666667,29.5,52,46,52,7,7,7,0,50,47,-27,27,-5,-17.4,0.00939885,0.224786,0.0291344,0.415831,0.295503,0.0253469,0.718708,0,1,"CGY",47
"5",945512,"VAN","CGY",2016,0,20029,1,25,295,42,7,1,"HOME","AWAYZONE","MISS",0,1,0,0,0,0,0,0,-76,-3,76,3,12.9946167919,12.9946167919,0,0,13.3416640641,"DEFL",0,0,0,0,2.8926366759,-69,-22,20.2484567313,0,0,"FAC","HOME",0,0,5,5,0,0,0,0,"L",22,0,69,22,7,8473434,"Chad Johnson",8467875,"Daniel Sedin","L",7,7,3,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,13,-76,-3,3,0,0,0.0909824,0.0763823,0.0460624,0.476293,0.282563,0.0277175,0.467461,1,0,"VAN",76
"6",945513,"VAN","CGY",2016,0,20029,1,27,355,16,18,1,"AWAY","HOMEZONE","MISS",0,1,0,0,0,0,0,0,58,-16,58,-16,-27.2995722113,27.2995722113,0,0,34.885527085,"WRIST",0,0,0,0,0.942809041582,46,-28,16.9705627485,0,0,"BLOCK","AWAY",0,0,5,5,0,0,0,0,"L",19,0,46,-28,67,8468011,"Ryan Miller",8479314,"Matthew Tkachuk","L",67,67,3,2,29.8,25,37,67,67,37,4,4,37,29.8,25,37,67,67,37,4,4,37,3,2,29.8,24.3333333333,38,67,67,38,2,2,38,29.8,24.3333333333,38,67,67,38,2,2,38,1,37,56,-17,17,2,0,0.0371021,0.146989,0.0419696,0.40018,0.351829,0.0219298,0.692176,0,0,"CGY",56
"7",945514,"VAN","CGY",2016,0,20029,1,35,470,0,46,1,"AWAY","HOMEZONE","SHOT",0,0,0,1,0,0,0,0,37,24,37,24,24.7751405688,24.7751405688,0,0,57.2712842531,"WRIST",0,0,0,0,0.507505109997,20,40,23.3452350599,0,0,"HIT","AWAY",0,0,5,5,0,0,0,0,"D",61,0,20,40,56,8468011,"Ryan Miller",8476967,"Brett Kulak","L",16,16,3,2,12.8,10.6666666667,16,16,16,16,7,7,16,12.8,10.6666666667,16,16,16,16,7,7,16,3,2,10.6,10.3333333333,11,14,14,11,6,6,11,10.6,10.3333333333,11,14,14,11,6,6,11,0,59,35,25,25,1,2.2,0.00889202,0.238667,0.0292191,0.414464,0.286856,0.0219019,0.707488,0,1,"CGY",35
"8",945515,"VAN","CGY",2016,0,20029,1,39,496,0,17,1,"AWAY","HOMEZONE","SHOT",0,0,0,1,0,0,0,0,51,16,51,16,22.8336541779,22.8336541779,22.8336541779,0,41.2310562562,"WRIST",0,0,1.34315612811,0,6.23973204997,-55,12,106.075444849,0,0,"BLOCK","HOME",0,0,5,5,0,0,0,0,"R",39,0,-55,12,26,8468011,"Ryan Miller",8475163,"Alex Chiasson","R",33,26,3,2,32.4,36.6666666667,26,42,42,26,26,33,26,26,26,26,26,26,26,26,26,26,3,2,30.4,26,37,37,26,37,26,26,37,26,26,26,26,26,26,26,26,26,1,43,49,17,17,0,0,0.0203976,0.18507,0.0429367,0.41918,0.311111,0.0213057,0.679887,0,1,"CGY",49
"9",945516,"VAN","CGY",2016,0,20029,1,42,511,14,15,1,"HOME","AWAYZONE","MISS",0,0,1,0,0,0,0,0,-43,11,43,-11,-13.4486150517,13.4486150517,0,0,47.2969343615,"SLAP",0,0,0,0,7.50259214465,69,22,112.53888217,0,0,"FAC","HOME",0,0,5,5,0,0,0,0,"D",8,0,-69,-22,15,8473434,"Chad Johnson",8475690,"Christopher Tanev","R",15,15,3,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,49,-41,11,11,0,0,0.0209202,0.153972,0.0390957,0.447791,0.311456,0.0267649,0.628453,1,0,"VAN",41
"10",945517,"VAN","CGY",2016,0,20029,1,43,525,29,14,1,"HOME","AWAYZONE","SHOT",0,1,0,0,0,0,0,0,-43,-17,43,17,20.2825590889,20.2825590889,33.7311741406,1,49.040799341,"WRIST",0,0,2.40936958147,0,2,-43,11,28,-13.4486150517,47.2969343615,"MISS","HOME",0,0,5,5,0,0,0,0,"D",23,8,43,-11,29,8473434,"Chad Johnson",8471303,"Alexander Edler","L",29,29,3,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,3,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,0,50,-42,-17,17,0,0,0.0131597,0.175449,0.0372352,0.463885,0.2892,0.0210715,0.653058,1,1,"VAN",42
